2022-01-31T16:38:25|CRITICAL|root|Unhandled exception:Traceback (most recent call last):
  File "C:\Users\RAMAN\workspace\NearField\ScopeFoundryHW\dynamixel_servo\dynamixel_single_hw.py", line 67, in set_mode
    self.servos.settings[S['servo_name']+'_torque'] = False
AttributeError: 'DynamixelServoHW' object has no attribute 'servos'

2022-01-31T16:38:25|INFO|HydraHarpOptimizerMeasure|hydraharp_channel_optimizer start_stop False
2022-01-31T16:38:25|INFO|HydraHarpOptimizerMeasure|measurement hydraharp_channel_optimizer stopping stop_first
2022-01-31T16:38:25|INFO|HydraHarpHistogramMeasure|hydraharp_histogram start_stop False
2022-01-31T16:38:25|INFO|HydraHarpHistogramMeasure|measurement hydraharp_histogram stopping stop_first
2022-01-31T16:38:25|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:38:25|INFO|PowerScanMeasure|measurement power_scan stopping stop_first
2022-01-31T16:38:25|INFO|PowerMeterOptimizerMeasure|powermeter_optimizer start_stop False
2022-01-31T16:38:25|INFO|PowerMeterOptimizerMeasure|measurement powermeter_optimizer stopping stop_first
2022-01-31T16:38:25|INFO|Sequencer|sequencer start_stop False
2022-01-31T16:38:25|INFO|Sequencer|measurement sequencer stopping stop_first
2022-01-31T16:38:25|INFO|APDOptimizerCBMeasurement|apd_optimizer start_stop False
2022-01-31T16:38:25|INFO|APDOptimizerCBMeasurement|measurement apd_optimizer stopping stop_first
2022-01-31T16:38:25|INFO|NearFieldMicroscope|setting up figures for hydraharp_channel_optimizer measurement hydraharp_channel_optimizer
2022-01-31T16:38:25|INFO|HydraHarpOptimizerMeasure|hydraharp_channel_optimizer start_stop False
2022-01-31T16:38:25|INFO|HydraHarpOptimizerMeasure|measurement hydraharp_channel_optimizer stopping stop_first
2022-01-31T16:38:25|INFO|NearFieldMicroscope|setting up figures for hydraharp_histogram measurement hydraharp_histogram
2022-01-31T16:38:25|INFO|NearFieldMicroscope|setting up figures for power_scan measurement power_scan
2022-01-31T16:38:25|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:38:25|INFO|PowerScanMeasure|measurement power_scan stopping stop_first
2022-01-31T16:38:25|INFO|NearFieldMicroscope|setting up figures for powermeter_optimizer measurement powermeter_optimizer
