2022-01-31T16:42:54|CRITICAL|root|Unhandled exception:Traceback (most recent call last):
  File "C:\Users\RAMAN\workspace\NearField\ScopeFoundryHW\dynamixel_servo\dynamixel_single_hw.py", line 67, in set_mode
    self.servos.settings[S['servo_name']+'_torque'] = False
AttributeError: 'DynamixelServoHW' object has no attribute 'servos'

2022-01-31T16:42:54|INFO|HydraHarpOptimizerMeasure|hydraharp_channel_optimizer start_stop False
2022-01-31T16:42:54|INFO|HydraHarpOptimizerMeasure|measurement hydraharp_channel_optimizer stopping stop_first
2022-01-31T16:42:54|INFO|HydraHarpHistogramMeasure|hydraharp_histogram start_stop False
2022-01-31T16:42:54|INFO|HydraHarpHistogramMeasure|measurement hydraharp_histogram stopping stop_first
2022-01-31T16:42:54|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:42:54|INFO|PowerScanMeasure|measurement power_scan stopping stop_first
2022-01-31T16:42:54|INFO|PowerMeterOptimizerMeasure|powermeter_optimizer start_stop False
2022-01-31T16:42:54|INFO|PowerMeterOptimizerMeasure|measurement powermeter_optimizer stopping stop_first
2022-01-31T16:42:54|INFO|Sequencer|sequencer start_stop False
2022-01-31T16:42:54|INFO|Sequencer|measurement sequencer stopping stop_first
2022-01-31T16:42:54|INFO|APDOptimizerCBMeasurement|apd_optimizer start_stop False
2022-01-31T16:42:54|INFO|APDOptimizerCBMeasurement|measurement apd_optimizer stopping stop_first
2022-01-31T16:42:54|INFO|NearFieldMicroscope|setting up figures for hydraharp_channel_optimizer measurement hydraharp_channel_optimizer
2022-01-31T16:42:54|INFO|HydraHarpOptimizerMeasure|hydraharp_channel_optimizer start_stop False
2022-01-31T16:42:54|INFO|HydraHarpOptimizerMeasure|measurement hydraharp_channel_optimizer stopping stop_first
2022-01-31T16:42:54|INFO|NearFieldMicroscope|setting up figures for hydraharp_histogram measurement hydraharp_histogram
2022-01-31T16:42:54|INFO|NearFieldMicroscope|setting up figures for power_scan measurement power_scan
2022-01-31T16:42:54|INFO|PowerScanMeasure|power_scan start_stop False
2022-01-31T16:42:54|INFO|PowerScanMeasure|measurement power_scan stopping stop_first
2022-01-31T16:42:55|INFO|NearFieldMicroscope|setting up figures for powermeter_optimizer measurement powermeter_optimizer
2022-01-31T16:42:55|INFO|PowerMeterOptimizerMeasure|powermeter_optimizer start_stop False
2022-01-31T16:42:55|INFO|PowerMeterOptimizerMeasure|measurement powermeter_optimizer stopping stop_first
2022-01-31T16:42:55|INFO|NearFieldMicroscope|setting up figures for sequencer measurement sequencer
2022-01-31T16:42:55|INFO|Sequencer|sequencer start_stop False
2022-01-31T16:42:55|INFO|Sequencer|measurement sequencer stopping stop_first
2022-01-31T16:42:55|WARNING|HydraHarpOptimizerMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:42:55|WARNING|HydraHarpHistogramMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:42:55|WARNING|PowerScanMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:42:55|WARNING|PowerMeterOptimizerMeasure|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:42:55|WARNING|Sequencer|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:42:55|WARNING|APDOptimizerCBMeasurement|Measurement.gui is deprecated, use Measurement.app <class 'DeprecationWarning'>
2022-01-31T16:42:55|INFO|NearFieldMicroscope|setting up figures for apd_optimizer measurement apd_optimizer
2022-01-31T16:42:55|INFO|APDOptimizerCBMeasurement|apd_optimizer start_stop False
2022-01-31T16:42:55|INFO|APDOptimizerCBMeasurement|measurement apd_optimizer stopping stop_first
2022-01-31T16:42:55|INFO|NearFieldMicroscope|ini settings loading from near_field_microscope_defaults.ini
2022-01-31T16:42:55|DEBUG|FileLQ|save_dir: update_value 'C:\\Users\\RAMAN\\workspace\\NearField\\NearFieldMicroscope\\data' --> 'E:\\Natalie'    sender=None
2022-01-31T16:42:55|DEBUG|FileLQ|save_dir: different values C:\Users\RAMAN\workspace\NearField\NearFieldMicroscope\data E:\Natalie
2022-01-31T16:42:55|INFO|NearFieldMicroscope|hardware/hydraharp
2022-01-31T16:42:55|INFO|NearFieldMicroscope|hardware/thorlabs_powermeter
2022-01-31T16:42:55|INFO|NearFieldMicroscope|hardware/motorized_polarizer
2022-01-31T16:42:55|INFO|NearFieldMicroscope|hardware/apd_counter
2022-01-31T16:42:55|INFO|NearFieldMicroscope|hardware/dynamixel_servos
2022-01-31T16:42:55|INFO|NearFieldMicroscope|hardware/power_wheel
2022-01-31T16:42:55|INFO|NearFieldMicroscope|-->Failed to load config for hardware/power_wheel/pos_scale, new val 280: KeyError('pos_scale')
2022-01-31T16:42:55|INFO|NearFieldMicroscope|ini settings loaded from: near_field_microscope_defaults.ini
