x0000,y0000,x0001,y0001
2700000000,148765.04,2700000000,148868.6,
2703000000,148833.52,2703000000,148943.48,
2706000000,148909.32,2706000000,148943.16,
2709000000,148932.72,2709000000,149039.08,
2712000000,149046.32,2712000000,149193.44,
2715000000,148780.44,2715000000,148901.92,
2718000000,148825.48,2718000000,148931.56,
2721000000,149042.16,2721000000,149068.28,
2724000000,148950.36,2724000000,149126,
2727000000,148946.44,2727000000,149094.28,
2730000000,149346.56,2730000000,149357.36,
2733000000,149064.8,2733000000,149184.88,
2736000000,149116,2736000000,149250.72,
2739000000,148910.6,2739000000,148975.4,
2742000000,149078.76,2742000000,149135.32,
2745000000,148859.92,2745000000,148943.12,
2748000000,149020.64,2748000000,149053.08,
2751000000,149139.48,2751000000,149292,
2754000000,148951.96,2754000000,149138.32,
2757000000,149032.28,2757000000,149251.52,
2760000000,148902.08,2760000000,148915.72,
2763000000,148928.08,2763000000,149083,
2766000000,149060.52,2766000000,149213.8,
2769000000,149357.96,2769000000,149578.24,
2772000000,148918.16,2772000000,149081.28,
2775000000,148881.08,2775000000,149009.28,
2778000000,149026.68,2778000000,149155.64,
2781000000,149044.08,2781000000,149062,
2784000000,148684.76,2784000000,148815.24,
2787000000,148984.16,2787000000,148980.44,
2790000000,149158.88,2790000000,149144.24,
2793000000,148965.4,2793000000,149099.28,
2796000000,148943.24,2796000000,149037.56,
2799000000,149137.12,2799000000,149254.64,
2802000000,149053.08,2802000000,149071.48,
2805000000,148833.44,2805000000,148853.32,
2808000000,148847.32,2808000000,148865.2,
2811000000,148800.44,2811000000,148764.48,
2814000000,148589.6,2814000000,148659.12,
2817000000,148689.56,2817000000,148793.2,
2820000000,149120.44,2820000000,149110.8,
2823000000,148799.32,2823000000,148894.92,
2826000000,149051,2826000000,148988.72,
2829000000,149112.6,2829000000,149350.76,
2832000000,149001.12,2832000000,149190.08,
2835000000,148944.36,2835000000,148934.96,
2838000000,148811.24,2838000000,148756.84,
2841000000,148800.36,2841000000,148832.88,
2844000000,148636.12,2844000000,148644.56,
2847000000,148489.76,2847000000,148551.68,
2850000000,148402.64,2850000000,148598.6,
2853000000,148338.96,2853000000,148695.04,
2856000000,148436.08,2856000000,148629.28,
2859000000,147777.8,2859000000,148082.56,
2862000000,147373.4,2862000000,146814.64,
2865000000,145119.24,2865000000,144185.96,
2868000000,142749.52,2868000000,141171.84,
2871000000,141587.28,2871000000,141360.8,
2874000000,142177.56,2874000000,144232.64,
2877000000,146428.16,2877000000,145182.2,
2880000000,147133.48,2880000000,147531.12,
2883000000,148127.64,2883000000,148010.64,
2886000000,148710.72,2886000000,148880.6,
2889000000,149028.92,2889000000,148967.52,
2892000000,149017.52,2892000000,149006.88,
2895000000,149332.96,2895000000,149473,
2898000000,148994.6,2898000000,149005.12,
2901000000,148623.76,2901000000,148757.36,
2904000000,148857.96,2904000000,149123.68,
2907000000,148589.6,2907000000,148788.88,
2910000000,148798.32,2910000000,148831.84,
2913000000,148907.52,2913000000,148898.12,
2916000000,148749.44,2916000000,148956.6,
2919000000,148802.68,2919000000,148837.16,
2922000000,149078.68,2922000000,148994.12,
2925000000,149284.28,2925000000,149357.08,
2928000000,148892.76,2928000000,149017.72,
2931000000,149012.96,2931000000,149061.12,
2934000000,149210.88,2934000000,149105.24,
2937000000,148899.56,2937000000,148988.6,
2940000000,148722.12,2940000000,148806.92,
2943000000,148777.56,2943000000,148815.16,
2946000000,148931.84,2946000000,148928.76,
2949000000,149004.8,2949000000,149220.04,
2952000000,148958.12,2952000000,148964.44,
2955000000,149048.12,2955000000,148995.08,
2958000000,148887.2,2958000000,149007.04,
2961000000,149177.04,2961000000,149210.56,
2964000000,149244.2,2964000000,149274.04,
2967000000,149639,2967000000,149573.48,
2970000000,149151.16,2970000000,149173.12,
2973000000,148946.36,2973000000,148993.64,
2976000000,148796.64,2976000000,148989,
2979000000,149118.8,2979000000,149024.08,
2982000000,149201.28,2982000000,149300,
2985000000,149319.16,2985000000,149304.24,
2988000000,149070.12,2988000000,149067.44,
2991000000,149083.72,2991000000,148961.08,
2994000000,149069.04,2994000000,149040.08,
2997000000,149066.32,2997000000,149055.48,
3000000000,149152,3000000000,149276.08,
