x0000,y0000,x0001,y0001
11,10.8161148,11,10.808668,
14.956,10.8130548,14.956,10.8012088,
18.912,10.8041062,18.912,10.799656,
22.868,10.8069456,22.868,10.7961576,
26.824,10.7994084,26.824,10.794406,
30.78,10.7947088,30.78,10.7886818,
34.736,10.7938806,34.736,10.7870052,
38.692,10.7912068,38.692,10.783763,
42.648,10.788451,42.648,10.7810818,
46.604,10.7851888,46.604,10.7819368,
50.56,10.77957,50.56,10.7778998,
54.516,10.781078,54.516,10.77851,
58.472,10.7746518,58.472,10.7708884,
62.428,10.7711558,62.428,10.7698428,
66.384,10.7684736,66.384,10.7672174,
70.34,10.767737,70.34,10.7688712,
74.296,10.7647174,74.296,10.7679436,
78.252,10.7650508,78.252,10.7646458,
82.208,10.7607722,82.208,10.7638426,
86.164,10.7588796,86.164,10.7610606,
90.12,10.7550652,90.12,10.7591792,
94.076,10.7549896,94.076,10.7593908,
98.032,10.7542302,98.032,10.7582294,
101.988,10.7488158,101.988,10.7575932,
105.944,10.7483342,105.944,10.7566532,
109.9,10.7507914,109.9,10.754567,
113.856,10.7493066,113.856,10.757447,
117.812,10.7446722,117.812,10.7540412,
121.768,10.7452552,121.768,10.7561746,
125.724,10.746599,125.724,10.7531878,
129.68,10.743309,129.68,10.7543898,
133.636,10.7453218,133.636,10.7539914,
137.592,10.74514,137.592,10.7546782,
141.548,10.742651,141.548,10.75234,
145.504,10.7451962,145.504,10.7572908,
149.46,10.7454722,149.46,10.7535768,
153.416,10.742151,153.416,10.7519348,
157.372,10.7450464,157.372,10.7520626,
161.328,10.7452838,161.328,10.7531862,
165.284,10.742483,165.284,10.7526602,
169.24,10.746168,169.24,10.75452,
173.196,10.7441558,173.196,10.7571992,
177.152,10.7434744,177.152,10.7525664,
181.108,10.7452784,181.108,10.7566094,
185.064,10.743406,185.064,10.7552046,
189.02,10.7437624,189.02,10.753373,
192.976,10.7460562,192.976,10.7579022,
196.932,10.7438676,196.932,10.7545064,
200.888,10.7414748,200.888,10.756531,
204.844,10.7460566,204.844,10.7563562,
208.8,10.7454804,208.8,10.7573916,
212.756,10.7444838,212.756,10.7537954,
216.712,10.748875,216.712,10.7571936,
220.668,10.7425884,220.668,10.7534798,
224.624,10.7455972,224.624,10.7599552,
228.58,10.7491664,228.58,10.7601354,
232.536,10.7472288,232.536,10.7556914,
236.492,10.74906,236.492,10.7585462,
240.448,10.7486298,240.448,10.756613,
244.404,10.7469816,244.404,10.7564582,
248.36,10.7505628,248.36,10.7588594,
252.316,10.7484444,252.316,10.7567084,
256.272,10.7488618,256.272,10.7567142,
260.228,10.7489736,260.228,10.7563206,
264.184,10.7466026,264.184,10.7592544,
268.14,10.7510376,268.14,10.7611334,
272.096,10.7492014,272.096,10.7579188,
276.052,10.7524396,276.052,10.7601116,
280.008,10.7521502,280.008,10.758347,
283.964,10.754587,283.964,10.7611542,
